Easting,Northing
501800,190000
501900,180100
501900,180200
501900,180300
501900,180400
501900,180500
501900,180600
501900,180700
501900,180800
501900,180900
501900,181000
501900,181100
501900,181200
501900,181300
501900,181400
501900,181500
501900,181600
501900,181700
501900,181800
501900,181900
501900,182000
501900,182100
501900,182200
501900,182300
501900,182400
501900,182500
501900,182600
501900,182700
501900,182800
501900,182900
501900,183000
501900,183100
501900,183200
501900,183300
501900,183400
501900,183500
501900,183600
501900,183700
501900,183800
501900,183900
501900,184000
501900,184100
501900,184200
501900,184300
501900,184400
501900,184500
501900,184600
501900,184700
501900,184800
501900,184900
501900,185000
501900,185100
501900,185200
501900,185300
501900,185400
501900,185500
501900,185600
501900,185700
501900,185800
501900,185900
501900,186000
501900,186100
501900,186200
501900,186300
501900,186400
501900,186500
501900,186600
501900,186700
501900,186800
501900,186900
501900,187000
501900,187100
501900,187200
501900,187300
501900,187400
501900,187500
501900,187600
501900,187700
501900,187800
501900,187900
501900,188000
501900,188100
501900,188200
501900,188300
501900,188400
501900,188500
501900,188600
501900,188700
501900,188800
501900,188900
501900,189000
501900,189100
501900,189200
501900,189300
501900,189400
501900,189500
501900,189600
501900,189700
501900,189800
501900,189900
501900,190000
502000,180100
502000,180200
502000,180300
502000,180400
502000,180500
502000,180600
502000,180700
502000,180800
502000,180900
502000,181000
502000,181100
502000,181200
502000,181300
502000,181400
502000,181500
502000,181600
502000,181700
502000,181800
502000,181900
502000,182000
502000,182100
502000,182200
502000,182300
502000,182400
502000,182500
502000,182600
502000,182700
502000,182800
502000,182900
502000,183000
502000,183100
502000,183200
502000,183300
502000,183400
502000,183500
502000,183600
502000,183700
502000,183800
502000,183900
502000,184000
502000,184100
502000,184200
502000,184300
502000,184400
502000,184500
502000,184600
502000,184700
502000,184800
502000,184900
502000,185000
502000,185100
502000,185200
502000,185300
502000,185400
502000,185500
502000,185600
502000,185700
502000,185800
502000,185900
502000,186000
502000,186100
502000,186200
502000,186300
502000,186400
502000,186500
502000,186600
502000,186700
502000,186800
502000,186900
502000,187000
502000,187100
502000,187200
502000,187300
502000,187400
502000,187500
502000,187600
502000,187700
502000,187800
502000,187900
502000,188000
502000,188100
502000,188200
502000,188300
502000,188400
502000,188500
502000,188600
502000,188700
502000,188800
502000,188900
502000,189000
502000,189100
502000,189200
502000,189300
502000,189400
502000,189500
502000,189600
502000,189700
502000,189800
502000,189900
502000,190000
502100,180100
502100,180200
502100,180300
502100,180400
502100,180500
502100,180600
502100,180700
502100,180800
502100,180900
502100,181000
502100,181100
502100,181200
502100,181300
502100,181400
502100,181500
502100,181600
502100,181700
502100,181800
502100,181900
502100,182000
502100,182100
502100,182200
502100,182300
502100,182400
502100,182500
502100,182600
502100,182700
502100,182800
502100,182900
502100,183000
502100,183100
502100,183200
502100,183300
502100,183400
502100,183500
502100,183600
502100,183700
502100,183800
